dataset,strategy,length_or_k,method,accuracy,f1_score,train_size,test_size,status,grid_search_time,rf_max_depth,rf_max_features,rf_min_samples_leaf,rf_min_samples_split,rf_n_estimators
datasets/BPI_Challenge_2013_incidents.xes,prefix,10,OHE,0.708333333,0.652940221,552,144,Success,12.52565336,10,sqrt,2,5,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,10,Bigram,0.708333333,0.612948216,552,144,Success,5.289003372,10,sqrt,2,2,200
datasets/BPI_Challenge_2013_incidents.xes,prefix,10,W2V,0.680555556,0.594758245,552,144,Success,5.681194782,10,sqrt,1,2,200
datasets/BPI_Challenge_2013_incidents.xes,prefix,10,D2V,0.701388889,0.60620915,552,144,Success,7.211644888,20,sqrt,2,2,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,10,BERT,0.694444444,0.650261131,552,144,Success,6.839181423,10,log2,2,2,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,10,ACF,0.708333333,0.609375,552,144,Success,6.227832794,10,sqrt,2,2,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,20,OHE,0.743119266,0.656887986,389,109,Success,4.394882679,10,log2,2,5,200
datasets/BPI_Challenge_2013_incidents.xes,prefix,20,Bigram,0.669724771,0.617569362,389,109,Success,4.18292737,10,sqrt,1,2,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,20,W2V,0.614678899,0.59709316,389,109,Success,4.116917133,10,sqrt,2,2,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,20,D2V,0.623853211,0.563355177,389,109,Success,5.403666973,20,sqrt,1,5,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,20,BERT,0.678899083,0.668980949,389,109,Success,6.148372173,10,log2,1,5,200
datasets/BPI_Challenge_2013_incidents.xes,prefix,20,ACF,0.660550459,0.619104155,389,109,Success,6.669973612,10,log2,2,2,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,30,OHE,0.674418605,0.543281654,310,86,Success,4.29417634,10,sqrt,2,2,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,30,Bigram,0.651162791,0.546954596,310,86,Success,4.696279287,10,sqrt,1,5,200
datasets/BPI_Challenge_2013_incidents.xes,prefix,30,W2V,0.674418605,0.543281654,310,86,Success,5.140554428,10,sqrt,2,2,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,30,D2V,0.674418605,0.573643411,310,86,Success,5.303351164,20,log2,1,2,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,30,BERT,0.697674419,0.634300697,310,86,Success,6.320277929,20,log2,2,2,200
datasets/BPI_Challenge_2013_incidents.xes,prefix,30,ACF,0.651162791,0.559782609,310,86,Success,6.351989269,20,sqrt,1,2,200
datasets/BPI_Challenge_2013_incidents.xes,prefix,40,OHE,0.689189189,0.583991381,263,74,Success,4.312369347,20,sqrt,2,5,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,40,Bigram,0.662162162,0.603797718,263,74,Success,4.486332178,10,sqrt,2,5,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,40,W2V,0.689189189,0.605500237,263,74,Success,4.562259436,10,log2,2,5,200
datasets/BPI_Challenge_2013_incidents.xes,prefix,40,D2V,0.662162162,0.550519751,263,74,Success,4.998460054,10,log2,2,2,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,40,BERT,0.675675676,0.652359907,263,74,Success,5.595271349,10,log2,1,5,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,40,ACF,0.648648649,0.61376501,263,74,Success,5.670464993,10,sqrt,1,5,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,50,OHE,0.75,0.642857143,231,60,Success,4.149331808,10,log2,2,2,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,50,Bigram,0.7,0.644545455,231,60,Success,4.584675789,10,sqrt,1,5,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,50,W2V,0.75,0.746533839,231,60,Success,4.808550119,10,sqrt,1,2,200
datasets/BPI_Challenge_2013_incidents.xes,prefix,50,D2V,0.7,0.659375,231,60,Success,5.604254246,10,sqrt,2,5,200
datasets/BPI_Challenge_2013_incidents.xes,prefix,50,BERT,0.616666667,0.63339206,231,60,Success,6.415609837,10,sqrt,2,5,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,50,ACF,0.65,0.60707331,231,60,Success,5.959877968,10,log2,2,5,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,75,OHE,0.659090909,0.542324655,178,44,Success,4.035307646,10,log2,2,2,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,75,Bigram,0.613636364,0.519982433,178,44,Success,4.047503233,10,sqrt,2,2,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,75,W2V,0.636363636,0.494949495,178,44,Success,3.896965027,10,sqrt,2,2,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,75,D2V,0.636363636,0.552746719,178,44,Success,4.400056124,10,log2,2,2,200
datasets/BPI_Challenge_2013_incidents.xes,prefix,75,BERT,0.636363636,0.572451791,178,44,Success,4.633791447,10,sqrt,2,5,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,75,ACF,0.636363636,0.559358289,178,44,Success,5.052555323,10,sqrt,2,2,200
datasets/BPI_Challenge_2013_incidents.xes,prefix,100,OHE,0.75,0.642857143,138,40,Success,3.933201313,10,log2,1,2,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,100,Bigram,0.7,0.617647059,138,40,Success,3.886352539,10,sqrt,2,5,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,100,W2V,0.7,0.664502165,138,40,Success,3.801723719,10,sqrt,2,2,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,100,D2V,0.75,0.642857143,138,40,Success,4.123672009,10,log2,2,2,200
datasets/BPI_Challenge_2013_incidents.xes,prefix,100,BERT,0.7,0.617647059,138,40,Success,4.300179243,10,sqrt,2,5,200
datasets/BPI_Challenge_2013_incidents.xes,prefix,100,ACF,0.65,0.590909091,138,40,Success,4.402389288,10,log2,2,2,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,125,OHE,0.625,0.480769231,115,32,Success,4.227858305,10,sqrt,1,2,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,125,Bigram,0.53125,0.433673469,115,32,Success,4.305143833,10,sqrt,2,2,200
datasets/BPI_Challenge_2013_incidents.xes,prefix,125,W2V,0.65625,0.574337121,115,32,Success,4.201521635,10,sqrt,1,2,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,125,D2V,0.65625,0.544883578,115,32,Success,4.425802708,10,sqrt,2,2,200
datasets/BPI_Challenge_2013_incidents.xes,prefix,125,BERT,0.65625,0.572193878,115,32,Success,4.660156727,10,log2,2,5,200
datasets/BPI_Challenge_2013_incidents.xes,prefix,125,ACF,0.5625,0.482481061,115,32,Success,4.888061047,10,sqrt,2,2,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,150,OHE,0.653846154,0.516994633,92,26,Success,4.524809122,10,sqrt,1,2,200
datasets/BPI_Challenge_2013_incidents.xes,prefix,150,Bigram,0.5,0.447368421,92,26,Success,4.056932211,10,sqrt,2,5,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,150,W2V,0.615384615,0.550382366,92,26,Success,4.210114479,10,sqrt,1,5,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,150,D2V,0.538461538,0.469428008,92,26,Success,4.489845276,10,sqrt,1,5,200
datasets/BPI_Challenge_2013_incidents.xes,prefix,150,BERT,0.538461538,0.469428008,92,26,Success,5.183224916,10,sqrt,2,2,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,150,ACF,0.538461538,0.469428008,92,26,Success,4.510150671,10,sqrt,2,2,200
datasets/BPI_Challenge_2013_incidents.xes,sliding_window,10,OHE,0.695294785,0.627098404,45155,10584,Success,45.89904833,10,sqrt,2,2,200
datasets/BPI_Challenge_2013_incidents.xes,sliding_window,10,Bigram,0.679988662,0.574792287,45155,10584,Success,27.80467391,10,sqrt,2,2,100
datasets/BPI_Challenge_2013_incidents.xes,sliding_window,10,W2V,0.676681784,0.595744165,45155,10584,Success,34.81454301,10,sqrt,1,2,100
datasets/BPI_Challenge_2013_incidents.xes,sliding_window,10,D2V,0.682350718,0.587430297,45155,10584,Success,588.6021705,20,sqrt,2,5,200
datasets/BPI_Challenge_2013_incidents.xes,sliding_window,10,BERT,0.691798942,0.620958013,45155,10584,Success,299.5202479,10,sqrt,2,5,100
datasets/BPI_Challenge_2013_incidents.xes,sliding_window,10,ACF,0.670445956,0.5489311,45155,10584,Success,180.5010815,10,sqrt,1,2,100
datasets/BPI_Challenge_2013_incidents.xes,sliding_window,20,OHE,0.69443551,0.620650135,40515,9327,Success,52.41692114,20,log2,2,5,200
datasets/BPI_Challenge_2013_incidents.xes,sliding_window,20,Bigram,0.675565562,0.557244228,40515,9327,Success,29.05342865,10,sqrt,2,2,200
datasets/BPI_Challenge_2013_incidents.xes,sliding_window,20,W2V,0.675351131,0.595140718,40515,9327,Success,28.90335178,10,sqrt,1,2,100
datasets/BPI_Challenge_2013_incidents.xes,sliding_window,20,D2V,0.672777956,0.552980581,40515,9327,Success,532.1792989,20,log2,2,2,200
datasets/BPI_Challenge_2013_incidents.xes,sliding_window,20,BERT,0.682534577,0.58042499,40515,9327,Success,545.7957551,10,log2,1,5,100
datasets/BPI_Challenge_2013_incidents.xes,sliding_window,20,ACF,0.668596548,0.548983341,40515,9327,Success,174.8040342,20,sqrt,2,5,100
datasets/BPI_Challenge_2013_incidents.xes,sliding_window,30,OHE,0.690954774,0.607708922,36996,8358,Success,65.18569851,20,log2,2,2,200
datasets/BPI_Challenge_2013_incidents.xes,sliding_window,30,Bigram,0.67205073,0.551613808,36996,8358,Success,30.04560709,10,sqrt,2,2,200
datasets/BPI_Challenge_2013_incidents.xes,sliding_window,30,W2V,0.677315147,0.598718342,36996,8358,Success,24.54752827,10,sqrt,1,2,100
datasets/BPI_Challenge_2013_incidents.xes,sliding_window,30,D2V,0.669897105,0.548236831,36996,8358,Success,468.8195555,10,sqrt,1,2,200
datasets/BPI_Challenge_2013_incidents.xes,sliding_window,30,BERT,0.673965063,0.566602669,36996,8358,Success,501.5599759,10,sqrt,2,5,200
datasets/BPI_Challenge_2013_incidents.xes,sliding_window,30,ACF,0.668341709,0.548045548,36996,8358,Success,159.9695249,10,log2,1,2,200
datasets/BPI_Challenge_2013_incidents.xes,sliding_window,40,OHE,0.692675159,0.609848429,34110,7536,Success,62.84086895,20,sqrt,2,5,200
datasets/BPI_Challenge_2013_incidents.xes,sliding_window,40,Bigram,0.675159236,0.556969404,34110,7536,Success,29.01630235,10,sqrt,2,5,100
datasets/BPI_Challenge_2013_incidents.xes,sliding_window,40,W2V,0.680599788,0.604150082,34110,7536,Success,21.61288428,10,sqrt,1,2,100
datasets/BPI_Challenge_2013_incidents.xes,sliding_window,40,D2V,0.670514862,0.547421221,34110,7536,Success,402.9497807,10,log2,1,2,200
datasets/BPI_Challenge_2013_incidents.xes,sliding_window,40,BERT,0.676220807,0.573066141,34110,7536,Success,447.2964058,10,log2,1,5,100
datasets/BPI_Challenge_2013_incidents.xes,sliding_window,40,ACF,0.667860934,0.557348538,34110,7536,Success,155.1207464,10,sqrt,1,2,200
datasets/BPI_Challenge_2013_incidents.xes,sliding_window,50,OHE,0.687290238,0.582854507,31627,6853,Success,63.50264359,20,log2,2,5,200
